Gene,Annotation,Ordered locus name,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
yohC,Inner membrane protein YohC,b2135; JW5356,YOHC_ECOLI,P0AD17,EG12016,195,yohC,b2135, JW5356
eda,KHG/KDPG aldolase,b1850; JW1839,ALKH_ECOLI,P0A955,EG10256,213,eda; hga; kdgA,b1850, JW1839
tatC,Sec-independent protein translocase protein TatC,b3839; JW3815,TATC_ECOLI,P69423,EG11479,258,tatC; mttB; yigU; yigV,b3839, JW3815
mrcB,Penicillin-binding protein 1B,b0149; JW0145,PBPB_ECOLI,P02919,EG10605,844,mrcB; pbpF; ponB,b0149, JW0145
tyrA,T-protein,b2600; JW2581,TYRA_ECOLI,P07023,EG11039,373,tyrA,b2600, JW2581
yadG,putative ABC transporter ATP-binding protein YadG,b0127; JW0123,YADG_ECOLI,P36879,EG12320,308,yadG,b0127, JW0123
sapD,Putrescine export system ATP-binding protein SapD,b1291; JW1284,SAPD_ECOLI,P0AAH4,EG12304,330,sapD; trkE,b1291, JW1284
murJ,Lipid II flippase MurJ,b1069; JW1056,MURJ_ECOLI,P0AF16,EG13880,511,murJ; mviN; yceN,b1069, JW1056
yhfA,Protein YhfA,b3356; JW3319,YHFA_ECOLI,P0ADX1,EG11182,134,yhfA,b3356, JW3319
soxS,Regulatory protein SoxS,b4062; JW4023,SOXS_ECOLI,P0A9E2,EG10958,107,soxS,b4062, JW4023
mrcA,Penicillin-binding protein 1A,b3396; JW3359,PBPA_ECOLI,P02918,EG10748,850,mrcA; ponA,b3396, JW3359
putA,Bifunctional protein PutA,b1014; JW0999,PUTA_ECOLI,P09546,EG10801,1320,putA; poaA,b1014, JW0999
gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",b3612; JW3587,GPMI_ECOLI,P37689,EG12296,514,gpmI; pgmI; yibO,b3612, JW3587
ftsB,Cell division protein FtsB,b2748; JW2718,FTSB_ECOLI,P0A6S5,EG13111,103,ftsB; ygbQ,b2748, JW2718
coaBC,Coenzyme A biosynthesis bifunctional protein CoaBC,b3639; JW5642,COABC_ECOLI,P0ABQ0,EG10004,406,coaBC; dfp,b3639, JW5642
prlC,Oligopeptidase A,b3498; JW3465,OPDA_ECOLI,P27298,EG11441,680,prlC; opdA,b3498, JW3465
maeB,NADP-dependent malic enzyme,b2463; JW2447,MAO2_ECOLI,P76558,EG14193,759,maeB; ypfF,b2463, JW2447
lipB,Octanoyltransferase,b0630; JW5089,LIPB_ECOLI,P60720,EG11591,213,lipB,b0630, JW5089
gltA,Citrate synthase,b0720; JW0710,CISY_ECOLI,P0ABH7,EG10402,427,gltA; gluT; icdB,b0720, JW0710
dnaE,DNA polymerase III subunit alpha,b0184; JW0179,DPO3A_ECOLI,P10443,EG10238,1160,dnaE; polC,b0184, JW0179
lacY,Lactose permease,b0343; JW0334,LACY_ECOLI,P02920,EG10526,417,lacY,b0343, JW0334
gshA,Glutamate--cysteine ligase,b2688; JW2663,GSH1_ECOLI,P0A6W9,EG10418,518,gshA; gsh-I,b2688, JW2663
infB,Translation initiation factor IF-2,b3168; JW3137,IF2_ECOLI,P0A705,EG10505,890,infB; gicD; ssyG,b3168, JW3137
thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,b0002; JW0001,AK1H_ECOLI,P00561,EG10998,820,thrA; thrA1; thrA2,b0002, JW0001
secB,Protein-export protein SecB,b3609; JW3584,SECB_ECOLI,P0AG86,EG10937,155,secB,b3609, JW3584
decR,DNA-binding transcriptional activator DecR,b0447; JW0437,DECR_ECOLI,P0ACJ5,EG13218,152,decR; ybaO,b0447, JW0437
trxC,Thioredoxin 2,b2582; JW2566,THIO2_ECOLI,P0AGG4,EG11887,139,trxC; yfiG,b2582, JW2566
yqjA,Inner membrane protein YqjA,b3095; JW3066,YQJA_ECOLI,P0AA63,EG12740,220,yqjA,b3095, JW3066
pykF,Pyruvate kinase I,b1676; JW1666,KPYK1_ECOLI,P0AD61,EG10804,470,pykF,b1676, JW1666
edd,Phosphogluconate dehydratase,b1851; JW1840,EDD_ECOLI,P0ADF6,EG10257,603,edd,b1851, JW1840
nuoM,NADH-quinone oxidoreductase subunit M,b2277; JW2272,NUOM_ECOLI,P0AFE8,EG11773,509,nuoM,b2277, JW2272
melR,Melibiose operon regulatory protein,b4118; JW4079,MELR_ECOLI,P0ACH8,EG11230,302,melR,b4118, JW4079
mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,b3741; JW3719,MNMG_ECOLI,P0A6U3,EG10375,629,mnmG; gidA; trmF,b3741, JW3719
recA,Protein RecA,b2699; JW2669,RECA_ECOLI,P0A7G6,EG10823,353,recA; lexB; recH; rnmB; tif; umuB; zab,b2699, JW2669
rpsN,30S ribosomal protein S14,b3307; JW3269,RS14_ECOLI,P0AG59,EG10913,101,rpsN,b3307, JW3269
mlaC,putative phospholipid-binding protein MlaC,b3192; JW3159,MLAC_ECOLI,P0ADV7,EG12798,211,mlaC; yrbC,b3192, JW3159
proW,Glycine betaine/proline betaine transport system permease protein ProW,b2678; JW2653,PROW_ECOLI,P14176,EG10772,354,proW,b2678, JW2653
pgk,Phosphoglycerate kinase,b2926; JW2893,PGK_ECOLI,P0A799,EG10703,387,pgk,b2926, JW2893
uup,ABC transporter ATP-binding protein uup,b0949; JW0932,UUP_ECOLI,P43672,EG13134,635,uup; ycbH; ycbI,b0949, JW0932
yrfF,Putative membrane protein IgaA ,b3398; JW3361,IGAA_ECOLI,P45800,EG12927,711,yrfF,b3398, JW3361
pgm,Phosphoglucomutase,b0688; JW0675,PGM_ECOLI,P36938,EG12144,546,pgm,b0688, JW0675
ubiA,4-hydroxybenzoate octaprenyltransferase,b4040; JW4000,UBIA_ECOLI,P0AGK1,EG11370,290,ubiA; cyr,b4040, JW4000
lysC,Lysine-sensitive aspartokinase 3,b4024; JW3984,AK3_ECOLI,P08660,EG10550,449,lysC; apk,b4024, JW3984
ccmE,Cytochrome c-type biogenesis protein CcmE,b2197; JW2185,CCME_ECOLI,P69490,EG12055,159,ccmE; yejS,b2197, JW2185
sucC,Succinate--CoA ligase [ADP-forming] subunit beta,b0728; JW0717,SUCC_ECOLI,P0A836,EG10981,388,sucC,b0728, JW0717
zupT,Zinc transporter ZupT,b3040; JW3008,ZUPT_ECOLI,P0A8H3,EG11167,257,zupT; ygiE,b3040, JW3008
kup,Low affinity potassium transport system protein kup,b3747; JW5609,KUP_ECOLI,P63183,EG11541,622,kup; trkD,b3747, JW5609
gltK,Glutamate/aspartate import permease protein GltK,b0653; JW0648,GLTK_ECOLI,P0AER5,EG12662,224,gltK,b0653, JW0648
nfi,Endonuclease V,b3998; JW5547,NFI_ECOLI,P68739,EG11915,223,nfi; yjaF,b3998, JW5547
dapB,4-hydroxy-tetrahydrodipicolinate reductase,b0031; JW0029,DAPB_ECOLI,P04036,EG10206,273,dapB,b0031, JW0029
yhjB,Putative HTH-type transcriptional regulator YhjB,b3520; JW3488,YHJB_ECOLI,P37640,EG12246,200,yhjB,b3520, JW3488
pqiB,Paraquat-inducible protein B,b0951; JW0934,PQIB_ECOLI,P43671,EG12966,546,pqiB; pqi5B,b0951, JW0934
purF,Amidophosphoribosyltransferase,b2312; JW2309,PUR1_ECOLI,P0AG16,EG10794,505,purF,b2312, JW2309
glgC,Glucose-1-phosphate adenylyltransferase,b3430; JW3393,GLGC_ECOLI,P0A6V1,EG10379,431,glgC,b3430, JW3393
yciB,putative intracellular septation protein A,b1254; JW1246,YCIB_ECOLI,P0A710,EG11122,179,yciB; ispZ,b1254, JW1246
arnC,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,b2254; JW2248,ARNC_ECOLI,P77757,EG14090,322,arnC; pmrF; yfbF,b2254, JW2248
recC,RecBCD enzyme subunit RecC,b2822; JW2790,RECC_ECOLI,P07648,EG10825,1122,recC,b2822, JW2790
slmA,Nucleoid occlusion factor SlmA,b3641; JW5641,SLMA_ECOLI,P0C093,EG11191,198,slmA; ttk; yicB,b3641, JW5641
secD,Protein translocase subunit SecD,b0408; JW0398,SECD_ECOLI,P0AG90,EG10938,615,secD,b0408, JW0398
glgA,Glycogen synthase,b3429; JW3392,GLGA_ECOLI,P0A6U8,EG10377,477,glgA,b3429, JW3392
tig,Trigger factor,b0436; JW0426,TIG_ECOLI,P0A850,EG11003,432,tig,b0436, JW0426
zwf,Glucose-6-phosphate 1-dehydrogenase,b1852; JW1841,G6PD_ECOLI,P0AC53,EG11221,491,zwf,b1852, JW1841
slyA,Transcriptional regulator SlyA,b1642; JW5267,SLYA_ECOLI,P0A8W2,EG13408,144,slyA,b1642, JW5267
sucD,Succinate--CoA ligase [ADP-forming] subunit alpha,b0729; JW0718,SUCD_ECOLI,P0AGE9,EG10982,289,sucD,b0729, JW0718
alx,Putative membrane-bound redox modulator Alx,b3088; JW5515,ALX_ECOLI,P42601,EG12731,321,alx; ygjT,b3088, JW5515
nuoC,NADH-quinone oxidoreductase subunit C/D,b2286; JW5375,NUOCD_ECOLI,P33599,EG12084,596,nuoC; nuoCD; nuoD,b2286, JW5375
lipA,Lipoyl synthase,b0628; JW0623,LIPA_ECOLI,P60716,EG11306,321,lipA; lip,b0628, JW0623
ribA,GTP cyclohydrolase-2,b1277; JW1269,RIBA_ECOLI,P0A7I7,EG11331,196,ribA,b1277, JW1269
guaB,Inosine-5'-monophosphate dehydrogenase,b2508; JW5401,IMDH_ECOLI,P0ADG7,EG10421,488,guaB; guaR,b2508, JW5401
yebC,putative transcriptional regulatory protein YebC,b1864; JW1853,YEBC_ECOLI,P0A8A0,EG11137,246,yebC,b1864, JW1853
tolQ,Protein TolQ,b0737; JW0727,TOLQ_ECOLI,P0ABU9,EG11010,230,tolQ; fii,b0737, JW0727
rsuA,Ribosomal small subunit pseudouridine synthase A,b2183; JW2171,RSUA_ECOLI,P0AA43,EG12044,231,rsuA; yejD,b2183, JW2171
nirD,Nitrite reductase (NADH) small subunit,b3366; JW3329,NIRD_ECOLI,P0A9I8,EG10655,108,nirD,b3366, JW3329
yheS,putative ABC transporter ATP-binding protein YheS,b3352; JW3315,YHES_ECOLI,P63389,EG12903,637,yheS,b3352, JW3315
icd,Isocitrate dehydrogenase [NADP],b1136; JW1122,IDH_ECOLI,P08200,EG10489; EG10009,416,icd; icdA; icdE,b1136, JW1122
astE,Succinylglutamate desuccinylase,b1744; JW1733,ASTE_ECOLI,P76215,EG13995,322,astE; ydjS,b1744, JW1733
pepE,Peptidase E,b4021; JW3981,PEPE_ECOLI,P0A7C6,EG11920,229,pepE,b4021, JW3981
ycfH,putative metal-dependent hydrolase YcfH,b1100; JW1086,YCFH_ECOLI,P0AFQ7,EG12303,265,ycfH,b1100, JW1086
yqjE,Inner membrane protein YqjE,b3099; JW3070,YQJE_ECOLI,P64585,EG12744,134,yqjE,b3099, JW3070
aspA,Aspartate ammonia-lyase,b4139; JW4099,ASPA_ECOLI,P0AC38,EG10095,478,aspA,b4139, JW4099
yafJ,Putative glutamine amidotransferase YafJ,b0223; JW0213,YAFJ_ECOLI,Q47147,EG13147,255,yafJ,b0223, JW0213
dksA,RNA polymerase-binding transcription factor DksA,b0145; JW0141,DKSA_ECOLI,P0ABS1,EG10230,151,dksA,b0145, JW0141
fieF,Ferrous-iron efflux pump FieF,b3915; JW3886,FIEF_ECOLI,P69380,EG11873,300,fieF; yiiP,b3915, JW3886
pdxH,Pyridoxine/pyridoxamine 5'-phosphate oxidase,b1638; JW1630,PDXH_ECOLI,P0AFI7,EG11487,218,pdxH,b1638, JW1630
yghA,putative oxidoreductase YghA,b3003; JW2972,YGHA_ECOLI,P0AG84,EG11292,294,yghA,b3003, JW2972
ampG,Protein AmpG,b0433; JW0423,AMPG_ECOLI,P0AE16,EG12183,491,ampG,b0433, JW0423
mreD,Rod shape-determining protein MreD,b3249; JW3218,MRED_ECOLI,P0ABH4,EG10610,162,mreD,b3249, JW3218
hypA,Hydrogenase maturation factor HypA,b2726; JW2696,HYPA_ECOLI,P0A700,EG10483,116,hypA,b2726, JW2696
serB,Phosphoserine phosphatase,b4388; JW4351,SERB_ECOLI,P0AGB0,EG10945,322,serB,b4388, JW4351
gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",b0755; JW0738,GPMA_ECOLI,P62707,EG11699,250,gpmA; gpm; pgm; pgmA,b0755, JW0738
rpoB,DNA-directed RNA polymerase subunit beta,b3987; JW3950,RPOB_ECOLI,P0A8V2,EG10894,1342,rpoB; groN; nitB; rif; ron; stl; stv; tabD,b3987, JW3950
hdeB,Acid stress chaperone HdeB,b3509; JW5669,HDEB_ECOLI,P0AET2,EG11399,108,hdeB; yhhD; yhiC,b3509, JW5669
sucA,2-oxoglutarate dehydrogenase E1 component,b0726; JW0715,ODO1_ECOLI,P0AFG3,EG10979,933,sucA,b0726, JW0715
plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,b3018; JW2986,PLSC_ECOLI,P26647,EG11377,245,plsC; parF,b3018, JW2986
aceE,Pyruvate dehydrogenase E1 component,b0114; JW0110,ODP1_ECOLI,P0AFG8,EG10024,887,aceE,b0114, JW0110
brnQ,Branched-chain amino acid transport system 2 carrier protein,b0401; JW0391,BRNQ_ECOLI,P0AD99,EG12168,439,brnQ,b0401, JW0391
nrdA,Ribonucleoside-diphosphate reductase 1 subunit alpha,b2234; JW2228,RIR1_ECOLI,P00452,EG10660,761,nrdA; dnaF,b2234, JW2228
pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,b2585; JW2569,PSS_ECOLI,P23830,EG10781,451,pssA; pss,b2585, JW2569
parC,DNA topoisomerase 4 subunit A,b3019; JW2987,PARC_ECOLI,P0AFI2,EG10686,752,parC,b3019, JW2987
araE,Arabinose-proton symporter,b2841; JW2809,ARAE_ECOLI,P0AE24,EG10056,472,araE,b2841, JW2809
ybfE,putative protein YbfE,b0685; JW5816,YBFE_ECOLI,P0AAU7,EG11775,97,ybfE,b0685, JW5816
recR,Recombination protein RecR,b0472; JW0461,RECR_ECOLI,P0A7H6,EG10834,201,recR,b0472, JW0461
fabR,HTH-type transcriptional repressor FabR,b3963; JW3935,FABR_ECOLI,P0ACU5,EG11394,234,fabR; yijC,b3963, JW3935
hemC,Porphobilinogen deaminase,b3805; JW5932,HEM3_ECOLI,P06983,EG10429,313,hemC; popE,b3805, JW5932
ycaO,Ribosomal protein S12 methylthiotransferase accessory factor YcaO,b0905; JW0888,YCAO_ECOLI,P75838,EG13699,586,ycaO,b0905, JW0888
tpx,Thiol peroxidase,b1324; JW1317,TPX_ECOLI,P0A862,EG12672,168,tpx; yzzJ,b1324, JW1317
glnP,Glutamine transport system permease protein GlnP,b0810; JW0795,GLNP_ECOLI,P0AEQ6,EG10388,219,glnP,b0810, JW0795
nanE,Putative N-acetylmannosamine-6-phosphate 2-epimerase,b3223; JW3192,NANE_ECOLI,P0A761,EG12816,229,nanE; yhcJ,b3223, JW3192
gyrB,DNA gyrase subunit B,b3699; JW5625,GYRB_ECOLI,P0AES6,EG10424,804,gyrB; acrB; cou; himB; hisU; nalC; parA; pcbA,b3699, JW5625
menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",b3930; JW3901,MENA_ECOLI,P32166,EG11880,308,menA; yiiW,b3930, JW3901
fre,NAD(P)H-flavin reductase,b3844; JW3820,FRE_ECOLI,P0AEN1,EG10334,233,fre; fadI; flrD; fsrC; ubiB,b3844, JW3820
mnmE,tRNA modification GTPase MnmE,b3706; JW3684,MNME_ECOLI,P25522,EG10997,454,mnmE; thdF; trmE,b3706, JW3684
atpD,ATP synthase subunit beta,b3732; JW3710,ATPB_ECOLI,P0ABB4,EG10101,460,atpD; papB; uncD,b3732, JW3710
atpC,ATP synthase epsilon chain,b3731; JW3709,ATPE_ECOLI,P0A6E6,EG10100,139,atpC; papG; uncC,b3731, JW3709
pal,Peptidoglycan-associated lipoprotein,b0741; JW0731,PAL_ECOLI,P0A912,EG10684,173,pal; excC,b0741, JW0731
cusR,Transcriptional regulatory protein CusR,b0571; JW0560,CUSR_ECOLI,P0ACZ8,EG13851,227,cusR; ylcA,b0571, JW0560
thyA,Thymidylate synthase,b2827; JW2795,TYSY_ECOLI,P0A884,EG11002,264,thyA,b2827, JW2795
trmJ,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,b2532; JW2516,TRMJ_ECOLI,P0AE01,EG13452,246,trmJ; yfhQ,b2532, JW2516
ychF,Ribosome-binding ATPase YchF,b1203; JW1194,YCHF_ECOLI,P0ABU2,EG11404,363,ychF; engD; gtp1,b1203, JW1194
treF,Cytoplasmic trehalase,b3519; JW3487,TREF_ECOLI,P62601,EG12245,549,treF,b3519, JW3487
ahpC,Alkyl hydroperoxide reductase C,b0605; JW0598,AHPC_ECOLI,P0AE08,EG11384,187,ahpC,b0605, JW0598
rseP,Regulator of sigma-E protease RseP,b0176; JW0171,RSEP_ECOLI,P0AEH1,EG12436,450,rseP; ecfE; yaeL,b0176, JW0171
napC,Cytochrome c-type protein NapC,b2202; JW2190,NAPC_ECOLI,P0ABL5,EG12060,200,napC; yejX,b2202, JW2190
accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,b2316; JW2313,ACCD_ECOLI,P0A9Q5,EG10217,304,accD; dedB; usg,b2316, JW2313
hybC,Hydrogenase-2 large chain,b2994; JW2962,MBHM_ECOLI,P0ACE0,EG11801,567,hybC,b2994, JW2962
metI,D-methionine transport system permease protein MetI,b0198; JW0194,METI_ECOLI,P31547,EG11737,217,metI; yaeE,b0198, JW0194
exbB,Biopolymer transport protein ExbB,b3006; JW2974,EXBB_ECOLI,P0ABU7,EG10271,244,exbB,b3006, JW2974
yejK,Nucleoid-associated protein YejK,b2186; JW2174,NDPA_ECOLI,P33920,EG12048,335,yejK,b2186, JW2174
cpxR,Transcriptional regulatory protein CpxR,b3912; JW3883,CPXR_ECOLI,P0AE88,EG10020,232,cpxR; yiiA,b3912, JW3883
hflX,GTPase HflX,b4173; JW4131,HFLX_ECOLI,P25519,EG10437,426,hflX,b4173, JW4131
caiD,Carnitinyl-CoA dehydratase,b0036; JW0035,CAID_ECOLI,P31551,EG11557,261,caiD; yaaL,b0036, JW0035
pnp,Polyribonucleotide nucleotidyltransferase,b3164; JW5851,PNP_ECOLI,P05055,EG10743,711,pnp,b3164, JW5851
eutS,Ethanolamine utilization protein EutS,b2462; JW2446,EUTS_ECOLI,P63746,EG14192,111,eutS; ypfE,b2462, JW2446
dppC,Dipeptide transport system permease protein DppC,b3542; JW3511,DPPC_ECOLI,P0AEG1,EG12626,300,dppC,b3542, JW3511
rluB,Ribosomal large subunit pseudouridine synthase B,b1269; JW1261,RLUB_ECOLI,P37765,EG12433,291,rluB; yciL,b1269, JW1261
lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,b0096; JW0094,LPXC_ECOLI,P0A725,EG10265,305,lpxC; asmB; envA,b0096, JW0094
ribE,"6,7-dimethyl-8-ribityllumazine synthase",b0415; JW0405,RISB_ECOLI,P61714,EG11322,156,ribE; ribH; ybaF,b0415, JW0405
mscM,Miniconductance mechanosensitive channel MscM,b4159; JW4120,MSCM_ECOLI,P39285,EG12478,1107,mscM; yjeP,b4159, JW4120
uhpA,Transcriptional regulatory protein UhpA,b3669; JW3644,UHPA_ECOLI,P0AGA6,EG11051,196,uhpA,b3669, JW3644
yadH,Inner membrane transport permease YadH,b0128; JW0124,YADH_ECOLI,P0AFN6,EG12321,256,yadH,b0128, JW0124
uspB,Universal stress protein B,b3494; JW3461,USPB_ECOLI,P0A8S5,EG12231,111,uspB; yhiO,b3494, JW3461
metH,Methionine synthase,b4019; JW3979,METH_ECOLI,P13009,EG10587,1227,metH,b4019, JW3979
ycgJ,putative methyltransferase YcgJ,b1177; JW1166,YCGJ_ECOLI,P76001,EG13891,122,ycgJ,b1177, JW1166
yciO,putative protein YciO,b1267; JW5196,YCIO_ECOLI,P0AFR4,EG12967,206,yciO,b1267, JW5196
putP,Sodium/proline symporter,b1015; JW1001,PUTP_ECOLI,P07117,EG10802,502,putP,b1015, JW1001
ubiB,putative protein kinase UbiB,b3835; JW3812,UBIB_ECOLI,P0A6A0,EG11476,546,ubiB; aarF; yigQ; yigR; yigS,b3835, JW3812
hemL,"Glutamate-1-semialdehyde 2,1-aminomutase",b0154; JW0150,GSA_ECOLI,P23893,EG10432,426,hemL; gsa; popC,b0154, JW0150
fabD,Malonyl CoA-acyl carrier protein transacylase,b1092; JW1078,FABD_ECOLI,P0AAI9,EG11317,309,fabD; tfpA,b1092, JW1078
rlmH,Ribosomal RNA large subunit methyltransferase H,b0636; JW0631,RLMH_ECOLI,P0A8I8,EG11254,155,rlmH; ybeA,b0636, JW0631
yrfG,GMP/IMP nucleotidase YrfG,b3399; JW5865,YRFG_ECOLI,P64636,EG12928,222,yrfG,b3399, JW5865
ybhS,putative multidrug ABC transporter permease YbhS,b0793; JW0777,YBHS_ECOLI,P0AFQ2,EG13675,377,ybhS,b0793, JW0777
uspD,Universal stress protein D,b3923; JW3894,USPD_ECOLI,P0AAB8,EG11877,142,uspD; yiiT,b3923, JW3894
rpoH,RNA polymerase sigma factor RpoH,b3461; JW3426,RPOH_ECOLI,P0AGB3,EG10897,284,rpoH; fam; hin; htpR,b3461, JW3426
fumC,Fumarate hydratase class II,b1611; JW1603,FUMC_ECOLI,P05042,EG10358,467,fumC,b1611, JW1603
spoT,Bifunctional (p)ppGpp synthase/hydrolase SpoT,b3650; JW3625,SPOT_ECOLI,P0AG24,EG10966,702,spoT,b3650, JW3625
mdtH,Multidrug resistance protein MdtH,b1065; JW1052,MDTH_ECOLI,P69367,EG13878,402,mdtH; yceL,b1065, JW1052
gyrA,DNA gyrase subunit A,b2231; JW2225,GYRA_ECOLI,P0AES4,EG10423,875,gyrA; hisW; nalA; parD,b2231, JW2225
hda,DnaA regulatory inactivator Hda,b2496; JW5397,HDA_ECOLI,P69931,EG14201,233,hda; idaB; yfgE,b2496, JW5397
yqhD,Alcohol dehydrogenase YqhD,b3011; JW2978,YQHD_ECOLI,Q46856,EG13014,387,yqhD,b3011, JW2978
pepQ,Xaa-Pro dipeptidase,b3847; JW3823,PEPQ_ECOLI,P21165,EG10698,443,pepQ,b3847, JW3823
grcA,Autonomous glycyl radical cofactor,b2579; JW2563,GRCA_ECOLI,P68066,EG11784,127,grcA; yfiD,b2579, JW2563
fabI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,b1288; JW1281,FABI_ECOLI,P0AEK4,EG11528,262,fabI; envM,b1288, JW1281
apt,Adenine phosphoribosyltransferase,b0469; JW0458,APT_ECOLI,P69503,EG10051,183,apt,b0469, JW0458
ppsR,Phosphoenolpyruvate synthase regulatory protein,b1703; JW1693,PSRP_ECOLI,P0A8A4,EG11132,277,ppsR; ydiA,b1703, JW1693
ettA,Energy-dependent translational throttle protein EttA,b4391; JW4354,ETTA_ECOLI,P0A9W3,EG12343,555,ettA; yjjK,b4391, JW4354
fucI,L-fucose isomerase,b2802; JW2773,FUCI_ECOLI,P69922,EG10349,591,fucI,b2802, JW2773
sugE,Quaternary ammonium compound-resistance protein SugE,b4148; JW5738,SUGE_ECOLI,P69937,EG11616,105,sugE,b4148, JW5738
gcvA,Glycine cleavage system transcriptional activator,b2808; JW2779,GCVA_ECOLI,P0A9F6,EG11795,305,gcvA,b2808, JW2779
bamC,Outer membrane protein assembly factor BamC,b2477; JW2462,BAMC_ECOLI,P0A903,EG10658,344,bamC; dapX; nlpB,b2477, JW2462
prmA,Ribosomal protein L11 methyltransferase,b3259; JW3227,PRMA_ECOLI,P0A8T1,EG11497,293,prmA; yhdI,b3259, JW3227
hslO,33 kDa chaperonin,b3401; JW5692,HSLO_ECOLI,P0A6Y5,EG12930,292,hslO; yrfI,b3401, JW5692
livH,High-affinity branched-chain amino acid transport system permease protein LivH,b3457; JW3422,LIVH_ECOLI,P0AEX7,EG10538,308,livH,b3457, JW3422
fdoH,Formate dehydrogenase-O iron-sulfur subunit,b3893; JW3864,FDOH_ECOLI,P0AAJ5,EG11857,300,fdoH,b3893, JW3864
actP,Cation/acetate symporter ActP,b4067; JW4028,ACTP_ECOLI,P32705,EG11942,549,actP; yjcG,b4067, JW4028
ybeZ,PhoH-like protein,b0660; JW0657,PHOL_ECOLI,P0A9K3,EG13656,346,ybeZ,b0660, JW0657
lpoB,Penicillin-binding protein activator LpoB,b1105; JW5157,LPOB_ECOLI,P0AB38,EG13431,213,lpoB; ycfM,b1105, JW5157
bioB,Biotin synthase,b0775; JW0758,BIOB_ECOLI,P12996,EG10118,346,bioB,b0775, JW0758
rnpA,Ribonuclease P protein component,b3704; JW3681,RNPA_ECOLI,P0A7Y8,EG10862,119,rnpA,b3704, JW3681
tolR,Protein TolR,b0738; JW0728,TOLR_ECOLI,P0ABV6,EG11011,142,tolR,b0738, JW0728
dgkA,Diacylglycerol kinase,b4042; JW4002,KDGL_ECOLI,P0ABN1,EG10224,122,dgkA,b4042, JW4002
nusA,Transcription termination/antitermination protein NusA,b3169; JW3138,NUSA_ECOLI,P0AFF6,EG10665,495,nusA,b3169, JW3138
suhB,Inositol-1-monophosphatase,b2533; JW2517,SUHB_ECOLI,P0ADG4,EG10983,267,suhB; ssyA,b2533, JW2517
dxs,1-deoxy-D-xylulose-5-phosphate synthase,b0420; JW0410,DXS_ECOLI,P77488,EG13612,620,dxs; yajP,b0420, JW0410
ydaF,Putative ribosomal N-acetyltransferase YdaF,b4527; JW1349,YDAF_ECOLI,P0ACW0,EG12157,51,ydaF,b4527, JW1349
gltX,Glutamate--tRNA ligase,b2400; JW2395,SYE_ECOLI,P04805,EG10407,471,gltX,b2400, JW2395
trpB,Tryptophan synthase beta chain,b1261; JW1253,TRPB_ECOLI,P0A879,EG11025,397,trpB,b1261, JW1253
tktA,Transketolase 1,b2935; JW5478,TKT1_ECOLI,P27302,EG11427,663,tktA; tkt,b2935, JW5478
rsmA,Ribosomal RNA small subunit methyltransferase A,b0051; JW0050,RSMA_ECOLI,P06992,EG10523,273,rsmA; ksgA,b0051, JW0050
btsS,Sensor histidine kinase BtsS,b2126; JW5353,BTSS_ECOLI,P0AD14,EG12007,561,btsS; yehU,b2126, JW5353
viaA,Protein ViaA,b3745; JW5610,VIAA_ECOLI,P0ADN0,EG11730,483,viaA; yieD; yieM,b3745, JW5610
msrA,Peptide methionine sulfoxide reductase MsrA,b4219; JW4178,MSRA_ECOLI,P0A744,EG11433,212,msrA; pms,b4219, JW4178
uvrA,UvrABC system protein A,b4058; JW4019,UVRA_ECOLI,P0A698,EG11061,940,uvrA; dinE,b4058, JW4019
glyS,Glycine--tRNA ligase beta subunit,b3559; JW3530,SYGB_ECOLI,P00961,EG10410,689,glyS; glyS(B),b3559, JW3530
gcvP,Glycine dehydrogenase (decarboxylating),b2903; JW2871,GCSP_ECOLI,P33195,EG11810,957,gcvP,b2903, JW2871
sdaC,Serine transporter,b2796; JW2767,SDAC_ECOLI,P0AAD6,EG12142,429,sdaC; dcrA,b2796, JW2767
appB,Cytochrome bd-II ubiquinol oxidase subunit 2,b0979; JW0961,APPB_ECOLI,P26458,EG11379,378,appB; cbdB; cyxB,b0979, JW0961
sdhB,Succinate dehydrogenase iron-sulfur subunit,b0724; JW0714,SDHB_ECOLI,P07014,EG10932,238,sdhB,b0724, JW0714
nikB,Nickel transport system permease protein NikB,b3477; JW3442,NIKB_ECOLI,P33591,EG12076,314,nikB,b3477, JW3442
proX,Glycine betaine/proline betaine-binding periplasmic protein,b2679; JW2654,PROX_ECOLI,P0AFM2,EG10773,330,proX; proU,b2679, JW2654
